,en_mort_cmb_met
0,-0.45062118713733257
1,-0.16449726926424818
2,-0.620803224322188
3,1.208139608381592
4,-1.1860969369011325
5,-1.121288398737604
6,0.24955343346546408
7,-0.011949066040242958
8,-0.07258329331899328
9,-0.2948488281784544
10,0.016857738108900986
11,-0.7472564495184972
12,0.1859042906156113
13,-0.4514402155592151
14,0.5794986342175256
15,-0.8000482922551443
16,-0.41275449365263117
17,-0.15772540463773835
18,-0.7614062142968749
19,-0.24361861249755187
20,-0.2286180847894533
21,0.09041575511977488
22,-0.04818682072870445
23,0.22424441944362933
24,0.1655573529362794
25,-0.569607784566675
26,-0.4021710289067133
27,0.2065403212231462
28,0.3602452722534697
29,-0.573586143308767
30,-0.5176587646411743
31,-0.4224826403276765
32,-0.36354641296385715
33,-0.017517210782734566
34,-0.009837980355770527
35,0.09115478485513027
36,0.4395305478360439
37,0.48237481954405026
38,1.9152749629751418
39,-0.9956142405221305
40,0.42213922603099135
41,-0.37657100110555447
42,0.399697657427315
43,0.4285282972752951
44,-0.09776126694084532
45,-0.1167891585252399
46,0.044272892350266595
47,-0.6684637754937676
48,1.261198809993342
49,-0.42672854239670194
50,0.24782315792023685
51,-0.2833364482809367
52,-0.5725090140877162
53,0.5149836948690977
54,0.127845746740063
55,-0.5379111975346834
56,0.24279758876073196
57,-0.7659659339234222
58,1.3957397276431192
59,-0.3638434738153377
60,-1.060582892897809
61,-0.33725807229543064
62,1.1410628251886203
63,-0.4812762056407805
64,-0.3670836371529587
65,-0.8644474520766329
66,0.9378112396153931
67,0.2670901571708993
68,-0.1676433816693596
69,0.8136250766260522
70,0.03875106663534549
71,1.7616744812851794
72,-0.010208271372753212
73,-0.8854602074424043
74,-0.34380363669204067
75,-1.196700245034843
76,0.5554474829111199
77,-0.2882627163838389
78,2.0705972879125167
79,0.3306296009434197
80,-0.018115236669869566
81,-0.6514590823685148
82,-0.22792026725821546
83,0.3614339900821027
84,-0.3128244093860047
85,0.20023706912868586
86,0.23728754086350898
87,-0.05323083535925056
88,-0.2825741697633847
89,-0.12108325355044916
90,-0.14873687543749936
91,-0.35573603060058134
92,-0.3012371704467581
93,0.15190826655613415
94,0.44342897026778205
95,0.4376475117215807
96,-0.5370421903455919
97,-0.4710013619103054
98,-0.19023672682130566
