,en_mort_cmb_ffs
0,-0.8394606698255229
1,1.1318004653547167
2,0.3468333556806907
3,-0.9461133901844871
4,-0.8695719376507606
5,1.901295713778075
6,0.8394641211724255
7,-0.01735798890715794
8,-0.4155747058988937
9,-0.6109720309445852
10,-0.2109912918659392
11,0.9224576761923196
12,0.3055432810641733
13,0.7324295580119289
14,-0.5141290257205566
15,-0.8033842143554026
16,-0.11027886779581586
17,-0.5272156982623087
18,0.2042189728211695
19,-0.1270954546269432
20,-0.26473829164141505
21,0.01268159599303254
22,0.7354176990274573
23,-1.2786651484043996
24,0.36813110930855847
25,0.8890051066109501
26,-0.050807784393816925
27,0.8633124386421598
28,-0.4696361481058126
29,-0.16355356345385727
30,0.7363736376189652
31,0.06955815392514124
32,-0.34833147076795173
33,-0.3298898021803753
34,-0.25327706544649947
35,0.2934339342112108
36,-0.3914610314008622
37,1.6107598004132575
38,-0.1818485627223499
39,0.27114124294408665
40,0.2580900821358041
41,-0.11215277700862229
42,0.30362714632999743
43,-0.4248404168750522
44,-0.3637744781279782
45,0.1300945737377526
46,-0.54521256179791
47,0.7599990154267897
48,-0.44787200383139736
49,2.07777275393723
50,0.33449448078212807
51,-0.5078408735633753
52,1.1279677580668672
53,0.01618754270936904
54,-0.24197305550346246
55,-0.1535294617031568
56,0.15604040622380103
57,-0.33159469251266066
58,0.051506790915228785
59,-0.5932265820739795
60,0.8251818833212968
61,0.052759036367261876
62,0.12255884466786503
63,-0.31266484689145624
64,0.2770858426523331
65,-0.23046362256126962
66,-0.40902705037257736
67,-0.2872498747042111
68,-0.1299107964642348
69,-0.03805595897749776
70,0.4140927782619748
71,0.10657154712942853
72,-0.3324962269117608
73,-0.5200822981399896
74,0.8764060899528717
75,-0.21324299916681652
76,-0.3587422821246555
77,-0.9170376756242525
78,-0.5319244009517312
79,0.626376747066953
80,-0.2863246529339339
81,-0.588077199481429
82,-0.5849974542849073
83,2.1923438096044343
84,-0.2967012367071238
85,-0.5615479499912202
86,-0.7731666194683863
87,-0.09012123049529903
88,-0.7494270176608655
89,0.6005647687483866
90,-0.022988712179624633
91,0.03631251349785891
92,0.03055756151178838
