,coefficient,coefficient
CES2,-0.0,0.0012329966418426002
CES3,-0.0005028697836464683,-0.0006813847975960344
CETN2,-8.953697789360416e-05,-0.000770382450543408
CFC1,0.00027356874940107886,0.0007427346819133218
CGA,0.0006640051147625075,0.0016709347351364593
CGREF1,0.0002949873367773286,0.0
CHAC2,-7.474239384409399e-05,-0.0
CHEK2,0.00020517261802139295,0.00032260435787637815
CHGB,-0.002407568248004645,-0.002152919066176467
CHIT1,-0.0006180875364761321,-0.00048117747735476976
CHL1,-0.0009315892568942501,-0.00048560928861600546
CHMP1A,0.0,0.0
CHRDL1,-0.0,-0.0015139851935478885
CHRDL2,-0.0010336198277378903,-0.0008369530077734947
CIAPIN1,0.0,0.0
CKAP4,0.0,-0.00043994709283733926
CKMT1A_CKMT1B,0.0002057978260662416,0.0007543604280833242
CLC,0.002220787221271993,0.00207159570464925
CLEC10A,-7.846905150719418e-05,-6.300178147963879e-05
CLEC11A,-0.0004986897069540028,0.0009071935954480839
CLEC14A,0.0015549608282841771,-0.0001897664430873291
CLEC1A,-0.0014625959402133838,-0.0016939310480127946
CLEC1B,0.0006130054487723161,0.0
CLEC4A,-0.0,-0.0004822330077528512
CLEC4C,-0.0007592915780524576,-0.0
CLEC4D,0.001484291669517056,0.0009009874773451362
CLEC4G,-0.00020979719349364207,-0.0002720041128752143
CLEC5A,-0.0008119550285813754,-0.0002963490822284733
CLEC6A,0.0,-0.0003538578947092553
CLEC7A,0.00014308363918761455,-0.0
CLIP2,-0.00015646116936033315,0.0
CLMP,0.0,1.9303647654216845e-06
CLPP,-0.0,-0.0
CLPS,0.00026613186529970116,-0.00020246293688650353
CLSPN,-0.000199091156271589,0.0
CLSTN1,-0.0008550140383377852,-0.0007026949599760078
CLSTN2,-8.567885063307571e-05,3.957830206365338e-05
CLTA,0.0009754907501085253,6.23050993935789e-05
CLUL1,0.0,0.0003161002090320104
CNDP1,-0.0012870886272400538,-0.0015644898761764936
CNPY2,-0.0009584082649593755,-0.00016577346196049042
CNPY4,0.0,-0.0
CNST,-0.0,-0.0020741727427679383
CNTN1,-0.002032473444423724,-0.0018811077654881595
CNTN2,0.0010112948779552545,0.0010942052837095613
CNTN3,-0.00027036964188140026,0.0
CNTN4,-0.0008723648471108493,0.0
CNTN5,-0.0013252016094843385,-0.0004914643515845189
CNTNAP2,0.0,5.1430465604119056e-05
COL18A1,-0.0010846841248279555,-0.0
COL1A1,-0.0017129895324769107,-0.001118794876622157
COL4A1,0.0004287404055390273,0.00016445684881771983
COL6A3,0.0004333140443228188,0.0025132472514231346
COL9A1,0.002494827817403865,0.0018948410306652776
COLEC12,0.0020385178434618335,0.0033690074635761617
COMP,-0.0005842973514259568,-0.0
COMT,0.0008608590378498497,0.002010664963603999
COPE,-0.0,-0.00013528138206300933
COX5B,-0.0,0.0
CPA1,0.0,-0.0
CPA2,-0.0,0.0
CPB1,-0.0,-0.0
CPE,-0.0007659758507458205,-0.00010569088842685837
CPM,0.0017053646261545809,0.0014060208314473383
CPPED1,0.0011048374109793404,0.0004059754860417709
CPVL,0.0001681321417385703,-0.0
CPXM1,0.0,-0.0006869011355354481
CR2,0.0,0.0
CRACR2A,0.0018185205424462443,0.0005117812614695176
CRADD,-0.0,-0.0
CREG1,-0.0024130874895288055,-0.0013349146628009053
CRELD2,-0.000322457737579313,-0.0
CRH,-0.0,-0.0
CRHBP,0.0,0.0
CRHR1,0.0,-7.240464726852164e-05
CRIM1,0.0008956976499828699,0.0008786726961693627
CRIP2,0.00026199370757389804,0.0006276203022004256
CRISP2,-0.0007412008072948673,0.0
CRKL,-0.0,-0.0
CRLF1,-0.00035587586327805876,-0.00030186553325034575
CRTAC1,0.0,-0.0
CRTAM,-0.0,0.00017266848602735086
CRX,0.00021967991362475348,0.0003576082863567906
CSF1,2.2115697583190463e-06,0.0010970743724338806
CSF2RA,-0.0,0.0
CSF3,-0.0007502499026324289,-0.0012919176016652606
CST3,-0.0,-0.0
CST5,-0.0015954105683997277,-0.001785684544692924
CST7,0.0,-0.0003259814232330134
CTF1,0.0006697644244895349,0.0
CTRB1,0.0006061599893003843,0.0009224360183478735
CTRC,0.0,0.0008460632300247047
CTSB,-0.0011444264147102722,-0.0019202012823550966
CTSC,-0.00011193278987435173,-9.077939215532887e-06
CTSF,0.00038080723898875553,0.00036107966694116407
CTSH,0.0,-0.00023487308719579418
CTSL,0.0013953047875791204,0.0022783015574435288
CTSO,0.0017024379405757323,0.001368713176042745
CTSV,0.0010642944026126098,0.0005516230020543199
CTSZ,-0.0004172666577005437,-0.0
CX3CL1,-0.00035265525865721013,-0.0006687902700290608
CXADR,-0.0,0.0
CXCL1,0.0,-0.0
CXCL10,0.0,0.0006287278483930956
CXCL11,-0.0,0.0
CXCL12,-0.0,0.0001214478514557178
CXCL13,-0.0004008312806640358,-0.000979583381171579
CXCL14,-0.0008222135676128649,-0.0007502709423326937
CXCL16,-0.0,1.1762628943957106e-05
CXCL17,-0.0,0.001720920839736001
CXCL3,0.0,0.0
CXCL5,0.0,0.0
CXCL6,0.00017089449322979896,-0.0
CXCL8,-0.000666111083519986,-3.160679326383927e-05
CXCL9,-9.621968956037115e-05,0.0
DAB2,0.0,0.0
DAG1,0.0003420998500946141,0.0
DAPP1,0.0019265646172099032,0.0004707016192233293
DARS1,0.0,-0.000137314572852723
DBI,0.00032004582406924625,0.0012642432164345575
DBNL,0.0,0.00046955174984381623
DCBLD2,0.002374545393484865,0.0024754054377954023
DCN,0.0,0.0
DCTN1,0.0,0.0009175529211012998
DCTN2,0.0,0.0
DCTN6,0.0,0.0
DCTPP1,0.0007284817497697494,-0.0
DCXR,-0.0027348822904634073,-0.002679103365051109
DDAH1,0.0011589257819678888,0.0
DDC,-0.0002339337436611711,-0.0005256108112485604
DDR1,-0.0010017175267036905,-0.0
DDX58,-0.0,1.6090204302665708e-06
DECR1,0.0,0.0
DEFB4A_DEFB4B,0.00012382930150549933,0.0009764185486451101
DFFA,-0.0,0.0
DGKZ,-0.0,9.816123195467216e-05
DIABLO,-0.0,0.0
DKK1,0.0,0.0006954248888128315
DKK3,0.0,0.0
DKK4,-0.0013920602248018365,-0.0008932650074422782
DKKL1,0.0009025176797565635,0.0006130287820156107
DLK1,-0.0017680032129253627,-0.001975682026170557
DLL1,0.0,0.0
DNAJA2,-0.0,0.0
DNAJB1,-0.0,0.0005660922281054025
DNAJB8,-6.912763629191417e-05,-0.0
DNER,-0.0001149893011595521,-0.0006807573730776832
DNMBP,0.0,-0.0
DNPH1,-0.0,-0.0
DOK2,-0.0013230389477172295,-0.00042059080594597135
DPEP1,0.0003406092560791737,0.00010555097393418026
DPEP2,-0.0,1.37169509974278e-05
DPP10,-0.0,-0.00043769038293187075
DPP4,-0.0021376315687259553,-0.0024192006436602616
DPP6,0.0,0.0
DPP7,-0.0,-0.0
DPT,0.00024159249598404347,0.0
DPY30,0.0,0.0002581072362651536
DRAXIN,-0.0,0.0014692550790766554
DRG2,-0.0,0.0
DSC2,0.001214440328477457,0.0
DSG2,0.0017395708497869975,0.001665475402453547
DSG3,0.0020233136676062473,0.002151613291783553
DSG4,-0.0,-0.0
DTX3,-0.0007640114731296487,-0.001343337531980677
DUOX2,-0.0,-0.0
DUSP3,9.911313817680188e-05,-0.0
EBAG9,0.0,-0.0
EBI3_IL27,-3.7610396245098135e-05,0.0
ECE1,0.0005173407374061541,0.0010936854887303557
EDA2R,-0.0,-0.0012217209281507543
EDAR,-0.00028753344628598655,-0.0
EDIL3,-0.0011788611328903053,-0.0
EFEMP1,-0.001971605355950421,0.0
EFNA1,0.0,0.0
EFNA4,0.0009478089006413763,0.00027090686132766524
EGF,0.0,0.0
EGFL7,-0.0,0.00066151592043093
EGFR,-0.002672049356478388,-0.0031130840644577945
EGLN1,-0.0014611106182903025,-0.0012005036772728417
EIF4B,-0.0,-0.00044662746269357655
EIF4EBP1,0.0,0.0
EIF4G1,-0.0,0.0
EIF5A,-0.0009815197021790037,-0.0006633517867907662
ELOA,-0.0,-0.0
ENAH,0.000494357331561309,-0.00035207630563649587
ENG,0.00010370119288186955,0.0015495233084635441
ENO1,-0.0012849953685526644,0.0
ENO2,0.0,0.0020575925009899466
ENPP2,-0.001971500242842953,-0.0012996886240240946
ENPP5,-0.00023470305707256012,-0.0005864204162988527
ENTPD2,-0.00024131240849221104,-0.00016775762064182113
ENTPD5,0.00024057697030574346,0.0005304751356279719
ENTPD6,0.0001656102100349846,0.00038292723425291186
EPCAM,0.00027389276510514875,0.0006255537537910959
EPHA1,-0.0027621254753379646,-0.0021303108940495283
EPHA10,0.00029866055826763407,8.76699367127456e-05
EPHB4,0.0029464028787248345,0.0014941145034336513
EPHB6,-5.5556015718010736e-05,-0.0
EPHX2,-0.00017930409191091416,0.0
EPO,0.0010586664270472589,0.0009211328478364664
EPS8L2,-0.0,-0.00013826685248500786
ERBB2,0.0011101075954894647,0.0007655019588307875
ERBB3,0.0007889483980753421,0.0007778274978736991
ERBB4,0.001738258580260047,0.0015102766053896033
ERBIN,-0.0,-0.0
EREG,0.0,-0.0
ERP44,-0.0,-0.00033885396921525196
ESAM,-0.0,-0.0
ESM1,7.150724529630825e-05,-0.0005554542541457594
EZR,0.00113181160638969,0.0
F11R,-0.00046889959473314397,-0.0
F2R,-0.0,0.0
F3,0.0004895411138216792,7.1062456375446855e-06
F7,-0.0006141960669945882,-0.000603445762519275
F9,-0.0,0.00018301926146821977
FABP1,-0.0,0.0
FABP2,-0.002268653870636211,-0.0028147766282617098
FABP4,-0.0007394278644574178,-0.00038150308159573353
FABP5,0.0002211964939267094,0.0004157652509764272
FABP6,0.0008645353823230049,0.0002435679580027236
FABP9,-3.7643264016901005e-05,-0.0003685066213880062
FADD,0.0,-0.0
FAM3B,0.0001520298995375254,0.00013398572427910318
FAM3C,-0.00033027554447542025,0.0
FAP,-0.0005004476243739899,-0.0003969292449070646
FAS,-0.0007470384276343405,-0.0005161898979138087
FASLG,-0.001016401097697475,-0.000863728844504259
FBP1,-0.000654202655518295,0.0
FCAR,0.0,-2.903813414182787e-05
FCER2,0.0007054032378966508,0.002212166549082275
FCGR2A,0.00026243319627797896,-0.0
FCGR2B,-0.0013296848182006535,-1.666018141960768e-05
FCGR3B,0.0004444380174293893,0.0004940290341543219
FCN2,-0.0001895698537532061,-0.0
FCRL1,-0.0,-9.846415524316175e-06
FCRL2,-0.0,-0.0
FCRL3,-0.0007353443428731081,-0.00043715098236927927
FCRL5,0.0,-0.0
FCRL6,0.0005281254138535179,-0.0003673572354019293
FCRLB,-0.0002449801635029461,-0.0008774502149785703
FEN1,0.00035321154898857766,5.436925550411495e-05
FES,-0.0,0.00045618591401093216
FETUB,0.0011362897807373994,0.0
FGF19,-0.0005300594900741483,-0.0
FGF2,0.0,-0.0
FGF21,-0.00033858377583343314,0.00047232940268069305
FGF23,-0.001094971046615458,-0.0006184207014700016
FGF5,0.0,0.00018939051054949594
FGFBP1,0.0,0.0006495053070187933
FGFR2,0.0025914599751832535,0.002985604246303867
FGR,0.0,0.0
FHIT,0.0,-0.0
FIS1,0.0,0.0
FKBP1B,0.0,-0.0
FKBP4,0.0,-0.0
FKBP5,-0.0,0.0007332128072592269
FKBP7,-0.0001742460454454361,-0.0006351668694394566
FLI1,-0.0,7.682374479063348e-07
FLRT2,0.0005953959146990635,0.0014111013139116906
FLT1,-0.00037668235617725336,-0.00011649944399235286
FLT3,-0.0007053276545656742,-0.0006998965284166908
FLT3LG,-0.0001090756429787802,-0.0003374450930382654
FLT4,-0.00015805612216394696,-0.0
FMNL1,-0.0002754388621196551,-0.000486000887057227
FMR1,0.0004230569084965532,0.0
FOLR1,0.0016045868176142275,0.00165831559080342
FOLR2,0.00014008710329457447,0.0011293223258182043
FOLR3,-0.0005171120306507702,0.0
FOSB,9.264129969069265e-05,0.0001479994816240644
FOXO1,0.0,0.0010275638174863458
FOXO3,0.0,-0.0
FRZB,6.743276292927127e-05,0.0
FST,0.0,0.0
FSTL3,0.0,-0.0005268932013151705
FUCA1,0.00041662098919578445,0.0001799544402369676
FURIN,0.002143848792456263,0.0007625304040861097
FUS,-0.0004280992047199974,0.0
FUT3_FUT5,0.0006494607120742346,0.0015271738826493643
FUT8,0.0006255362390483275,-0.0
FXN,-0.0,-0.0
FXYD5,0.002136592730302019,0.0004033724507073938
FYB1,-0.0,0.0
GAL,-0.0003557883404922081,0.0
GALNT10,0.0,0.0002791282107491064
GALNT2,-0.0013201751873242885,-0.001987666623275486
GALNT3,0.0002172963394298826,0.0008694062822144726
GALNT7,0.0,-0.000566116549581773
GAS6,-9.07469808324552e-05,0.0
GBP2,-0.00021671908751612438,-0.00015648009138977272
GBP4,5.905187459137766e-05,-0.0
GCG,0.000345088153526491,0.0013226626248790852
GCNT1,-0.00011715458912483962,-0.0
GDF15,0.0028932471411392143,0.001633426536981222
GDF2,-0.0,-0.0009139284404419078
GDNF,-0.00011940696189348664,-0.0
GFAP,-0.0002669197195256209,-0.0004871729195100229
GFER,-0.0012348272781471045,-0.0011224256797930066
GFOD2,0.0006657678680755671,2.6376394877421132e-05
GFRA1,0.0004120316842651954,0.001485411318854796
GFRA2,-0.0003770021079043254,-0.00047931647001116424
GFRA3,-0.0001373121549553695,-0.0
GGA1,0.0003584219549443029,0.0007508770861129707
GGH,0.0009181025022337937,-0.0
GGT1,0.0013749913660861999,0.001322102801876216
GGT5,0.0009853832902516756,-0.0
GH1,-0.0,-0.0001635576411585632
GH2,0.0001702326262204199,-0.00014042875520751843
GHRHR,-0.0,-0.0
GHRL,-0.00029296725383207785,0.0
GKN1,0.0003068815772240603,-0.0
GLB1,0.0024913883812512807,0.0
GLO1,0.0017952064552009437,0.0018777254789884026
GLOD4,-0.0,-0.0007966560804504716
GLRX,-7.786597019573152e-05,-0.0004865967413293278
GLT8D2,0.0006175040432664965,-4.760979778449261e-05
GMPR,0.0002490000735049135,6.659646792668995e-05
GNE,0.0009337401445222126,0.00040798471770809653
GNLY,0.001012523190064804,0.0010717402947301733
GOLM2,0.0006004132482662788,0.0
GOPC,0.0,0.0
GP1BA,0.0008669345835487501,-0.0004386717924371613
GP2,-0.0010382576556524153,-0.0
GP6,0.0,0.0
GPA33,0.0,-0.0
GPC1,-0.0,0.0
GPC5,-0.00021853131313480186,0.0001887215231120745
GPKOW,0.0,0.0
GPR37,-0.0008875015317580673,-0.00040202234158645864
GRAP2,0.0,0.0
GRK5,-0.0,-0.0003730703049601302
GRN,1.3099312698005128e-06,0.0005021525711594885
GRPEL1,0.0008319732267280526,0.0
GSAP,-0.00046617028031524364,-0.0007351964160854335
GSTA1,-0.0,0.0
GSTA3,0.0006446644592072366,-0.00014525285343320124
GSTP1,0.0007461935643556187,0.0004986291501064567
GUCA2A,-0.000630837694256391,-0.0
GUSB,0.0027591391007298406,0.0013010893717908055
GYS1,-0.0007670354237123398,-0.0006463419738887065
GZMA,-0.0008908485060220895,-6.471352866905505e-05
GZMB,-0.0013507455553480856,-0.0015729324977746984
GZMH,0.0003043323862083643,9.673720557331638e-05
HAGH,-0.0008157022132056636,-0.00015220882868012322
HAO1,-0.0,-5.3044108848213004e-05
HARS1,0.0,0.0
HAVCR1,0.0028032206752736212,0.002166532801682741
HAVCR2,0.0,0.0
HBEGF,0.0,0.0
HBQ1,0.0,8.190686442960171e-05
HCLS1,1.1077224091587796e-05,0.0
HDGF,0.0,0.0001286527765113512
HEBP1,0.00014169869186163853,0.0
HEXIM1,0.00031896179117738206,0.0
HGF,0.0,0.0
HGS,4.884759810005819e-05,-0.0
HK2,-0.0,-5.738490830001465e-05
HLA_DRA,0.0011666500738529764,0.0008512855183706101
HLA_E,-0.0003154114976116872,-0.0005889440564574391
HMBS,-0.0,-0.0
