outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_GDF15,6,583,38,0.3491291030131068,0.1435715990702261,1.4178322249388924,1.0700805645728042,1.8785952054719337,0.01502640203305625,0.6832802384133183,0.28935318811276484,1.335563350337181,0.9528953032633861,1.8719049791253322,0.09298724988866972,1.42 (1.07; 1.88),1.34 (0.95; 1.87),0.68
died,aa_GDF15,7,581,38,0.4115557870226518,0.1481951168858019,1.5091638972205934,1.1287363077729529,2.017810229891345,0.005484274020553806,0.6933636082155021,0.2749493844222559,1.3164640395933012,0.9464566538912245,1.8311219646636812,0.10244708343065904,1.51 (1.13; 2.02),1.32 (0.95; 1.83),0.69
died,aa_GDF15,8,581,38,0.40251540940161407,0.1506305643004755,1.4955819710706202,1.1132514062383192,2.0092186002706436,0.007535510141956369,0.6835586747858396,0.2807315673927729,1.3240981251143895,0.950141370837177,1.8452368234283405,0.09733373541433063,1.5 (1.11; 2.01),1.32 (0.95; 1.85),0.68
died,aa_GDF15,9,581,38,0.4253797793939943,0.15232839997213246,1.530171436908223,1.1352144792985104,2.0625394311184495,0.005229957835095888,0.7141087831561564,0.24406094402667805,1.2764221184227134,0.9012887199971144,1.8076931267973084,0.16925297582910187,1.53 (1.14; 2.06),1.28 (0.9; 1.81),0.71
died,aa_Horvath,0,583,38,-0.1494117626765193,0.1923386967254357,0.8612144259230535,0.5907344527417472,1.2555392426759664,0.4372673796330053,0.5646901654506217,,,,,,0.86 (0.59; 1.26),nan (nan; nan),0.56
died,aa_Horvath,1,583,38,0.143869450690404,0.17239902312320737,1.1547333490428695,0.8236361389010451,1.618929821572536,0.4039912306454866,0.5356078511972048,,,,,,1.15 (0.82; 1.62),nan (nan; nan),0.54
died,aa_Horvath,2,581,38,0.1582684070378457,0.17270053443852304,1.171480586147366,0.8350877911364168,1.6433802269490867,0.3594400213358315,0.5519661471772113,,,,,,1.17 (0.84; 1.64),nan (nan; nan),0.55
died,aa_Horvath,3,581,38,0.16239712304481846,0.17340907927134935,1.1763272952531156,0.8373790639870408,1.6524725361164816,0.3490172361684729,0.604706368046238,,,,,,1.18 (0.84; 1.65),nan (nan; nan),0.6
died,aa_Horvath,4,581,38,0.2076968922284501,0.17928399194299016,1.230840035821466,0.8661533782278801,1.7490749697017385,0.2466682696617804,0.6451646196717927,,,,,,1.23 (0.87; 1.75),nan (nan; nan),0.65
died,aa_Horvath,5,583,38,0.09918706142404336,0.17388713826348287,1.1042728470910512,0.785350262107446,1.5527065815835228,0.5683992630347232,0.6425855513307985,0.5120961173776771,1.6687855017176652,1.2478013043668257,2.231801682685529,0.0005553957512838496,1.1 (0.79; 1.55),1.67 (1.25; 2.23),0.64
