"Name","concordance_val","r2_val","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","beta","bs","dataset","lr","method","metric.goal","metric.name","nested_batch_size","parameters.betas","parameters.bs.distribution","parameters.bs.max","parameters.bs.min","parameters.bss","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.lr.q","parameters.lrs","parameters.nested_batch_sizes","parameters.wd.distribution","parameters.wd.max","parameters.wd.min","parameters.wd.q","parameters.wds","target","wd","concordance_train","cosim_train","cosim_val","r2_train","training_loss","validation_loss"
"dashing-sweep-5663","0.6972939341989398","0.09897338009317036","","finished","-","","","2025-01-11T08:35:37.000Z","180","5oy9lds5","","0.5555555555555556","2669","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7644572056936892","0","0","0.1141809662556168","0.8827860733581177","0.7842921758777422"
"fancy-sweep-890","0.697288479057857","0.10032698180132003","","finished","-","","","2025-01-09T16:35:49.000Z","179","5oy9lds5","","0","3556","","0.0004641588833612778","","","","","","","","","","","","","","","","","","","","","","0.01","0.7546251426194375","0","0","0.11734341579917695","0.884390564415774","0.7853752301017957"
"leafy-sweep-1977","0.6972784301137569","-0.17514300159552154","","finished","-","","","2025-01-10T01:14:19.000Z","182","5oy9lds5","","0.1111111111111111","4000","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7464663632358313","0","0","-0.13337788623348068","0.8907993841989309","0.783907478191095"
"copper-sweep-353","0.6972666584935254","0.06379869347095346","","finished","-","","","2025-01-09T13:50:29.000Z","175","5oy9lds5","","0","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7467186847265573","0","0","0.06826439169303977","0.8903587665073797","0.7817057574734619"
"denim-sweep-6362","0.6972474219433912","0.09889481052005078","","finished","-","","","2025-01-11T15:21:53.000Z","179","5oy9lds5","","0.6666666666666666","1338","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7984459557523967","0","0","0.12261337755825076","0.8664821224188706","0.7911950423489973"
"hearty-sweep-5878","0.6972465606053254","-0.1873819069167766","","finished","-","","","2025-01-11T09:41:29.000Z","182","5oy9lds5","","0.5555555555555556","3556","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.003593813663804626","0.7267502566943884","0","0","-0.15082413523986715","0.8968322581453643","0.7825584032546304"
"distinctive-sweep-329","0.6972413925769311","0.12244619436687432","","finished","-","","","2025-01-11T22:33:45.000Z","193","5oy9lds5","","0.7777777777777777","451","","0.000021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7317440940280108","0","0","0.11907640272688502","0.8942086701004416","0.7816600563851969"
"fallen-sweep-4766","0.6972390956754225","0.07562031351811238","","finished","-","","","2025-01-11T00:53:04.000Z","183","5oy9lds5","","0.4444444444444444","3112","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.001291549665014884","0.7551781405497562","0","0","0.07074367600870346","0.8871435107790762","0.7843002295621055"
"quiet-sweep-369","0.6972178493364682","-0.31685848485360535","","finished","-","","","2025-01-09T13:54:53.000Z","180","5oy9lds5","","0","1338","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7694980796328791","0","0","-0.2492874184392857","0.8828080328162592","0.7867431867776725"
"dandy-sweep-4159","0.697213255533451","0.02180299027653476","","finished","-","","","2025-01-10T21:46:18.000Z","188","5oy9lds5","","0.4444444444444444","451","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7695589353012432","0","0","0.0723680338545668","0.8815112690879576","0.783231560815044"
"radiant-sweep-2338","0.6972092359558111","0.13568377342749272","","finished","-","","","2025-01-12T15:15:17.000Z","188","5oy9lds5","","1","451","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.001291549665014884","0.7800283938188062","0","0","0.14730965861737666","0.8760886475869495","0.7854884108043637"
"ancient-sweep-1153","0.6972049292654825","0.11006298697160756","","finished","-","","","2025-01-12T02:54:04.000Z","183","5oy9lds5","","0.7777777777777777","4000","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7840914572413595","0","0","0.11675807566439778","0.8733598859251551","0.7884085970500707"
"playful-sweep-6570","0.6971986127863339","-0.3622136191063454","","finished","-","","","2025-01-11T16:24:23.000Z","182","5oy9lds5","","0.6666666666666666","2225","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7279692063255524","0","0","-0.3137861886924518","0.8958161056080924","0.7840610638172485"
"stilted-sweep-2021","0.6971868411661024","0.15464753873957648","","finished","-","","","2025-01-10T02:07:02.000Z","1295","5oy9lds5","","0.2222222222222222","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7418067259285521","0","0","0.16808887713629217","0.8949225944856006","0.7868510674059938"
"zany-sweep-3465","0.6971813860250196","0.07449182807807231","","finished","-","","","2025-01-10T15:06:17.000Z","179","5oy9lds5","","0.3333333333333333","1782","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.000774263682681127","0.7790940768601206","0","0","0.09882839224675456","0.8768471326558505","0.7872655995425594"
"serene-sweep-3155","0.6971799504615767","0.03582437842963626","","finished","-","","","2025-01-12T19:36:37.000Z","188","5oy9lds5","","1","4000","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7798140453234655","0","0","0.07566964903473716","0.8769998582282402","0.7865276429924739"
"sandy-sweep-1885","0.6971724855316739","0.06415792868065351","","finished","-","","","2025-01-10T00:46:07.000Z","182","5oy9lds5","","0.1111111111111111","3556","","0.0004641588833612778","","","","","","","","","","","","","","","","","","","","","","0.000774263682681127","0.7622893078474032","0","0","0.0899609690766835","0.8825539006251415","0.7865801513541165"
"lemon-sweep-4148","0.6971403289105538","-0.08485044703396705","","finished","-","","","2025-01-10T21:42:33.000Z","190","5oy9lds5","","0.4444444444444444","451","","0.000021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.003593813663804626","0.7234081387217319","0","0","-0.06596161165652026","0.8969453883404659","0.7827634214865133"
"copper-sweep-6027","0.697127408839568","0.017106327802831722","","finished","-","","","2025-01-11T11:05:30.000Z","1297","5oy9lds5","","0.6666666666666666","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7415411150665334","0","0","0.05312223490308332","0.8932747410613335","0.7842267993914378"
"silver-sweep-900","0.6971176470081566","0.13598419030412656","","finished","-","","","2025-01-09T16:38:54.000Z","180","5oy9lds5","","0","3556","","0.001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7624174931914043","0","0","0.1435194211581935","0.8833759370465575","0.7879367779878835"
"trim-sweep-2536","0.6971142016558938","0.12003259906159514","","finished","-","","","2025-01-12T16:19:01.000Z","177","5oy9lds5","","1","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0004641588833612778","0.7316250664615701","0","0","0.12408844120101505","0.8943548597462111","0.7818457913106117"
"hardy-sweep-207","0.6971116176416966","0.08138662425489218","","finished","-","","","2025-01-11T19:26:52.000Z","1299","5oy9lds5","","0.7777777777777777","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.000774263682681127","0.7407601967674458","0","0","0.12244378123576548","0.8970561606446604","0.783661794791548"
"genial-sweep-957","0.6970978362326451","0.12519178911992856","","finished","-","","","2025-01-12T01:50:28.000Z","184","5oy9lds5","","0.7777777777777777","3112","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.000774263682681127","0.8061759675197878","0","0","0.1379679567533839","0.861468316426966","0.7926169801124503"
"robust-sweep-5777","0.6970952522184479","0.10514298619646778","","finished","-","","","2025-01-11T09:10:00.000Z","181","5oy9lds5","","0.5555555555555556","3112","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7940033624816683","0","0","0.12147188575459487","0.8692903222833575","0.7933634530017492"
"winter-sweep-360","0.6970785996825107","0.08588822132220175","","finished","-","","","2025-01-09T13:51:47.000Z","181","5oy9lds5","","0","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.01","0.7363511506253126","0","0","0.08586424321300368","0.8929696425875535","0.7812891817165254"
"lunar-sweep-4571","0.6970763027810022","-0.2117500111177424","","finished","-","","","2025-01-10T23:53:50.000Z","183","5oy9lds5","","0.4444444444444444","2225","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0001","0.8096930484817217","0","0","-0.1342702300067573","0.8630143002583089","0.7930585492908709"
"morning-sweep-4353","0.6970751543302479","-0.103062494910934","","finished","-","","","2025-01-10T22:46:59.000Z","178","5oy9lds5","","0.4444444444444444","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7303051458587954","0","0","-0.06691570505338595","0.8963701449706029","0.7838776329955608"
"chocolate-sweep-3144","0.6970648182734593","-0.01195973081134638","","finished","-","","","2025-01-12T19:33:25.000Z","186","5oy9lds5","","1","4000","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7287606242873442","0","0","0.03489233801729141","0.8957984355708893","0.7827160107687924"
"solar-sweep-149","0.6970585017943107","-0.021294891027495044","","finished","-","","","2025-01-11T18:30:55.000Z","183","5oy9lds5","","0.6666666666666666","4000","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7284769568304955","0","0","-0.008700596182279696","0.8956931318272877","0.7825881066370001"
"comfy-sweep-1207","0.6970585017943107","0.15807261983571086","","finished","-","","","2025-01-12T03:46:48.000Z","1286","5oy9lds5","","0.8888888888888888","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.000774263682681127","0.7433984606694053","0","0","0.17775322374810998","0.8945833539836942","0.7859895951308361"
"soft-sweep-1846","0.697055630667425","0.07704879573385404","","finished","-","","","2025-01-12T09:34:03.000Z","185","5oy9lds5","","0.8888888888888888","2669","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0004641588833612778","0.7694402844043166","0","0","0.09194436026758834","0.8803895301856339","0.7837871400586928"
"zesty-sweep-1752","0.697053620878605","-0.0233748980401558","","finished","-","","","2025-01-12T09:02:31.000Z","182","5oy9lds5","","0.8888888888888888","2225","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7655046059030469","0","0","0.003272109497446718","0.8820913255708885","0.7858522401643093"
"good-sweep-1032","0.6970504626390307","0.13952175824767232","","finished","-","","","2025-01-09T18:14:25.000Z","1277","5oy9lds5","","0.1111111111111111","8","","0.00001","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7993718800434724","0","0","0.1805066322672347","0.8801534794212469","0.8030651918869667"
"scarlet-sweep-4251","0.6970366812299793","0.023893558173683216","","finished","-","","","2025-01-10T22:16:00.000Z","178","5oy9lds5","","0.4444444444444444","895","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7589704727590841","0","0","0.015363488958664684","0.8865182059294768","0.7836816828659512"
"dulcet-sweep-5353","0.6970338101030935","-0.008826955879538856","","finished","-","","","2025-01-11T07:00:08.000Z","177","5oy9lds5","","0.5555555555555556","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7462890696039355","0","0","0.0016063944111437412","0.8905939984908449","0.78671170108936"
"vague-sweep-1470","0.6970263451731907","-0.34738051435449324","","finished","-","","","2025-01-09T22:38:57.000Z","178","5oy9lds5","","0.1111111111111111","1782","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7576204303661075","0","0","-0.27637183968124956","0.8874198036865949","0.7860558429030697"
"generous-sweep-1872","0.6970251967224363","0.014923172709693344","","finished","-","","","2025-01-10T00:43:01.000Z","180","5oy9lds5","","0.1111111111111111","3556","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7276881637843797","0","0","0.019381778742675104","0.895965298296091","0.7828525618897988"
"wobbly-sweep-1541","0.6970211771447964","0.11820662783568192","","finished","-","","","2025-01-12T07:58:11.000Z","179","5oy9lds5","","0.8888888888888888","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7401552537569547","0","0","0.11557396338003112","0.8908254508210735","0.7823668756070049"
"stilted-sweep-5024","0.6970180189052221","0.1598664184951203","","finished","-","","","2025-01-11T02:50:18.000Z","1282","5oy9lds5","","0.5555555555555556","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.0004641588833612778","0.7484120731525155","0","0","0.1803039307739206","0.893052890759908","0.7862666119277465"
"lucky-sweep-1211","0.6970022277073507","0.15831724749009246","","finished","-","","","2025-01-12T03:46:56.000Z","1286","5oy9lds5","","0.8888888888888888","8","","0.000004641588833612782","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7403719211239912","0","0","0.17153556348248655","0.8954907707790873","0.7831578009914749"
"astral-sweep-4769","0.6969993565804649","-0.0010264403647151088","","finished","-","","","2025-01-11T00:53:52.000Z","182","5oy9lds5","","0.4444444444444444","3112","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7344838939058521","0","0","0.01878982317905664","0.8941769223154586","0.7829447529444805"
"silver-sweep-258","0.6969904560871192","-0.07871302166005822","","finished","-","","","2025-01-09T13:20:45.000Z","184","5oy9lds5","","0","895","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.003593813663804626","0.7453215468734017","0","0","-0.019510419275468927","0.8916446592508336","0.7829826658845495"
"daily-sweep-1533","0.6969860058404463","0.05721353699493104","","finished","-","","","2025-01-12T07:56:55.000Z","180","5oy9lds5","","0.8888888888888888","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7321599136296805","0","0","0.07950281008312565","0.894953541461202","0.782716711625264"
