,variable,model,N,Coef,Std Err,t-value,P,LL,UL,R-squared,Age_coef,Age_LL,Age_UL
37,en_mort_cmb_mh,1,4320,    0.0207,    0.001,   18.140, 0.000,    0.018,    0.023,0.7532713343148132,    0.0022,    0.002,    0.002
38,en_mort_cmb_mh,2,4320,    0.0235,    0.001,   20.074, 0.000,    0.021,    0.026,0.7580762137812178,    0.0024,    0.002,    0.002
39,en_mort_cmb_mh,3,4264,    0.0219,    0.001,   18.500, 0.000,    0.020,    0.024,0.7594411743599793,    0.0026,    0.002,    0.003
40,en_mort_cmb_mh,4,4243,    0.0189,    0.001,   15.917, 0.000,    0.017,    0.021,0.7779558369561372,    0.0010,    0.001,    0.001
41,en_mort_cmb_mh,5,4122,    0.0183,    0.001,   14.725, 0.000,    0.016,    0.021,0.7773830092669938,    0.0010,    0.001,    0.001
42,en_frailty_allprot,0,4320,    0.0400,    0.002,   18.085, 0.000,    0.036,    0.044,0.07039532382425584,,,
43,en_frailty_allprot,1,4320,    0.0400,    0.001,   39.468, 0.000,    0.038,    0.042,0.8048643818032146,    0.0022,    0.002,    0.002
44,en_frailty_allprot,2,4320,    0.0402,    0.001,   39.196, 0.000,    0.038,    0.042,0.8049188598801781,    0.0022,    0.002,    0.002
45,en_frailty_allprot,3,4264,    0.0398,    0.001,   37.559, 0.000,    0.038,    0.042,0.8047658836573522,    0.0022,    0.002,    0.002
46,en_frailty_allprot,4,4243,    0.0359,    0.001,   30.365, 0.000,    0.034,    0.038,0.8067353415167607,    0.0017,    0.001,    0.002
47,en_frailty_allprot,5,4122,    0.0363,    0.001,   29.866, 0.000,    0.034,    0.039,0.8074060759569928,    0.0016,    0.001,    0.002
48,en_frailty_cmb,0,4320,    0.0372,    0.002,   16.717, 0.000,    0.033,    0.042,0.06077404703964073,,,
49,en_frailty_cmb,1,4320,    0.0372,    0.001,   35.800, 0.000,    0.035,    0.039,0.7952431050185991,    0.0022,    0.002,    0.002
50,en_frailty_cmb,2,4320,    0.0374,    0.001,   35.517, 0.000,    0.035,    0.039,0.7953069120902307,    0.0022,    0.002,    0.002
51,en_frailty_cmb,3,4264,    0.0367,    0.001,   33.833, 0.000,    0.035,    0.039,0.7951558896332264,    0.0023,    0.002,    0.002
52,en_frailty_cmb,4,4243,    0.0320,    0.001,   26.394, 0.000,    0.030,    0.034,0.7979068650960426,    0.0016,    0.001,    0.002
53,en_frailty_cmb,5,4122,    0.0323,    0.001,   25.858, 0.000,    0.030,    0.035,0.7984133663219175,    0.0016,    0.001,    0.002
54,en_frailty_cmb_sub,0,4320,    0.0365,    0.002,   16.357, 0.000,    0.032,    0.041,0.0583312325263865,,,
55,en_frailty_cmb_sub,1,4320,    0.0365,    0.001,   34.866, 0.000,    0.034,    0.039,0.7928002905053447,    0.0022,    0.002,    0.002
56,en_frailty_cmb_sub,2,4320,    0.0366,    0.001,   34.574, 0.000,    0.035,    0.039,0.7928544020039725,    0.0022,    0.002,    0.002
57,en_frailty_cmb_sub,3,4264,    0.0358,    0.001,   32.884, 0.000,    0.034,    0.038,0.7927291343248204,    0.0023,    0.002,    0.002
58,en_frailty_cmb_sub,4,4243,    0.0310,    0.001,   25.259, 0.000,    0.029,    0.033,0.7954759265326885,    0.0016,    0.001,    0.002
59,en_frailty_cmb_sub,5,4122,    0.0314,    0.001,   24.792, 0.000,    0.029,    0.034,0.7961103451854976,    0.0016,    0.001,    0.002
60,en_frailty_cmb_met,0,4320,    0.0371,    0.002,   16.689, 0.000,    0.033,    0.042,0.060578156442381625,,,
61,en_frailty_cmb_met,1,4320,    0.0371,    0.001,   35.725, 0.000,    0.035,    0.039,0.7950472144213376,    0.0022,    0.002,    0.002
62,en_frailty_cmb_met,2,4320,    0.0373,    0.001,   35.435, 0.000,    0.035,    0.039,0.7950938733608653,    0.0022,    0.002,    0.002
63,en_frailty_cmb_met,3,4264,    0.0366,    0.001,   33.708, 0.000,    0.034,    0.039,0.7948355016558729,    0.0023,    0.002,    0.002
64,en_frailty_cmb_met,4,4243,    0.0319,    0.001,   26.192, 0.000,    0.029,    0.034,0.7974716480637705,    0.0016,    0.001,    0.002
65,en_frailty_cmb_met,5,4122,    0.0324,    0.001,   25.772, 0.000,    0.030,    0.035,0.7982258211097499,    0.0016,    0.001,    0.002
66,en_frailty_cmb_met_pca,0,4320,    0.0310,    0.002,   13.796, 0.000,    0.027,    0.035,0.04221000653241014,,,
67,en_frailty_cmb_met_pca,1,4320,    0.0310,    0.001,   28.568, 0.000,    0.029,    0.033,0.7766790645113679,    0.0022,    0.002,    0.002
68,en_frailty_cmb_met_pca,2,4320,    0.0312,    0.001,   28.234, 0.000,    0.029,    0.033,0.7767253013608807,    0.0022,    0.002,    0.002
69,en_frailty_cmb_met_pca,3,4264,    0.0302,    0.001,   26.803, 0.000,    0.028,    0.032,0.7776164294509652,    0.0023,    0.002,    0.002
70,en_frailty_cmb_met_pca,4,4243,    0.0241,    0.001,   19.170, 0.000,    0.022,    0.027,0.7834607651083991,    0.0015,    0.001,    0.002
71,en_frailty_cmb_met_pca,5,4122,    0.0240,    0.001,   18.426, 0.000,    0.021,    0.027,0.783515186331793,    0.0015,    0.001,    0.002
72,en_frailty_cmb_met_pca20,0,4320,    0.0325,    0.002,   14.470, 0.000,    0.028,    0.037,0.046240090060393646,,,
73,en_frailty_cmb_met_pca20,1,4320,    0.0325,    0.001,   30.175, 0.000,    0.030,    0.035,0.7807091480393548,    0.0022,    0.002,    0.002
74,en_frailty_cmb_met_pca20,2,4320,    0.0326,    0.001,   29.841, 0.000,    0.030,    0.035,0.7807268621833285,    0.0022,    0.002,    0.002
75,en_frailty_cmb_met_pca20,3,4264,    0.0316,    0.001,   28.285, 0.000,    0.029,    0.034,0.781204882991276,    0.0023,    0.002,    0.002
76,en_frailty_cmb_met_pca20,4,4243,    0.0257,    0.001,   20.637, 0.000,    0.023,    0.028,0.7861727226466442,    0.0015,    0.001,    0.002
77,en_frailty_cmb_met_pca20,5,4122,    0.0256,    0.001,   19.956, 0.000,    0.023,    0.028,0.7863331159711063,    0.0015,    0.001,    0.002
78,en_frailty_cmb_met_ajive10,0,4320,    0.0303,    0.002,   13.473, 0.000,    0.026,    0.035,0.040336208433553455,,,
79,en_frailty_cmb_met_ajive10,1,4320,    0.0303,    0.001,   27.811, 0.000,    0.028,    0.032,0.7748052664125129,    0.0022,    0.002,    0.002
80,en_frailty_cmb_met_ajive10,2,4320,    0.0303,    0.001,   27.452, 0.000,    0.028,    0.032,0.7748057971093663,    0.0022,    0.002,    0.002
81,en_frailty_cmb_met_ajive10,3,4264,    0.0293,    0.001,   26.088, 0.000,    0.027,    0.031,0.7759141392690468,    0.0024,    0.002,    0.002
82,en_frailty_cmb_met_ajive10,4,4243,    0.0232,    0.001,   18.961, 0.000,    0.021,    0.026,0.7830850835103516,    0.0014,    0.001,    0.002
83,en_frailty_cmb_met_ajive10,5,4122,    0.0231,    0.001,   18.226, 0.000,    0.021,    0.026,0.7831582096421071,    0.0014,    0.001,    0.002
84,en_frailty_cmb_mh,0,4320,    0.0365,    0.002,   16.389, 0.000,    0.032,    0.041,0.058547745668144024,,,
85,en_frailty_cmb_mh,1,4320,    0.0365,    0.001,   34.949, 0.000,    0.034,    0.039,0.7930168036471019,    0.0022,    0.002,    0.002
86,en_frailty_cmb_mh,2,4320,    0.0367,    0.001,   34.659, 0.000,    0.035,    0.039,0.7930734169171589,    0.0022,    0.002,    0.002
87,en_frailty_cmb_mh,3,4264,    0.0359,    0.001,   32.978, 0.000,    0.034,    0.038,0.7929693392441957,    0.0023,    0.002,    0.002
88,en_frailty_cmb_mh,4,4243,    0.0311,    0.001,   25.388, 0.000,    0.029,    0.033,0.7957500889153472,    0.0016,    0.001,    0.002
89,en_frailty_cmb_mh,5,4122,    0.0315,    0.001,   24.962, 0.000,    0.029,    0.034,0.7964752662273697,    0.0016,    0.001,    0.002
