"Name","r2_val","r2_train","concordance_val","concordance_train","ID","Notes","State","Created","Runtime","architecture","target","batch_size","add_age","beta","dset","gamma","lr","n_epochs","weight_decay","init","max_depth","n_trees","alpha","l1_ratio","cosim_train","cosim_val","training_loss","validation_loss","var_t","in_dim","combine_sets","nested_batch_size","seed","bootstrap","score_test","score_train"
"denim-brook-1111","0.22149410230519304","0.25816925383274314","0","0","08hn2z0i","-","finished","2025-01-03T17:39:36.000Z","33509","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004505706490401122","0.004668178132903801","0","344","true","16","8","true","",""
"snowy-wood-1113","0.22344580511035328","0.2555030915178168","0","0","0w8fbukv","-","finished","2025-01-03T17:39:43.000Z","35368","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004471286158762944","0.0046564750791646395","0","344","true","16","9","true","",""
"fanciful-lion-1160","0.21016239037703044","0.23199349603442457","0","0","0x9ak5c5","-","finished","2025-01-04T03:29:06.000Z","45146","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004488175366893876","0.00473612681510139","0","344","true","16","57","true","",""
"ethereal-butterfly-1201","0.22937418034038803","0.257571452186089","0","0","2hibc0br","-","finished","2025-01-04T15:30:26.000Z","24663","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004425270436502732","0.0046209265859619","0","344","true","16","98","true","",""
"frosty-sky-1188","0.22607711096163896","0.2535047901500327","0","0","2ic4ohgw","-","finished","2025-01-04T10:01:49.000Z","38675","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004482423585727861","0.00464069690141117","0","344","true","16","85","true","",""
"vibrant-firefly-1135","0.2154721956284111","0.24210982992905572","0","0","2mzrjffr","-","finished","2025-01-03T21:27:06.000Z","45489","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004445099942208976","0.0047042874715101995","0","344","true","16","33","true","",""
"upbeat-terrain-1116","0.20868283324557224","0.2218314355984371","0","0","2sivi7dl","-","finished","2025-01-03T17:40:40.000Z","35545","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004604678308397107","0.004744998727655817","0","344","true","16","13","true","",""
"smooth-fog-1187","0.2133929748957127","0.24266810549733808","0","0","2zpbuux5","-","finished","2025-01-04T09:59:33.000Z","38704","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004535277576627985","0.004716755164801417","0","344","true","16","84","true","",""
"charmed-serenity-1186","0.21599071620265753","0.2331424215775214","0","0","3c7ej1vy","-","finished","2025-01-04T09:59:33.000Z","31958","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004572423650762122","0.004701178251126225","0","344","true","16","83","true","",""
"sparkling-waterfall-1149","0.22813860785490817","0.2571176026271733","0","0","3gm2g3cc","-","finished","2025-01-03T21:27:07.000Z","45305","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004430842305644729","0.004628335486106925","0","344","true","16","47","true","",""
