,en_forward_frailty
0,0.1177988044052686
1,0.08127275490395844
2,0.16128211178422763
3,0.14371269653611263
4,0.13670915264096564
5,0.09714665458290031
6,0.13938929682785317
7,0.06351714594575752
8,0.13596667893596706
9,0.11433517764331105
10,0.0851243739941573
11,0.2025589320418887
12,0.08992975167959566
13,0.09003031733743894
14,0.17188920707773195
15,0.16051239718032517
16,0.15634583821293083
17,0.09739333461352837
18,0.15466379829551766
19,0.11659900774111012
20,0.11256193423813762
21,0.08818134721436002
22,0.06317195942322848
23,0.13836478138078295
24,0.1457224514198285
25,0.15728887487369936
26,0.11223787961815751
27,0.08971956736006584
28,0.11561297378492094
29,0.16969997161401817
30,0.1960572631405288
31,0.16605825652385403
32,0.10822288433302235
33,0.11980911850924073
34,0.10687880643456882
35,0.11570369155008914
36,0.12111225239424286
37,0.11866284435968331
38,0.11486735249517284
39,0.08461149631703302
40,0.1926034504971978
41,0.10808086034285065
42,0.1691551995223281
43,0.11276725629831129
44,0.06701552604242247
45,0.15203043405557984
46,0.11899225031919053
47,0.15700737828842093
48,0.16383141374462654
49,0.14327082142389422
50,0.12336741953309405
51,0.07670172796376644
52,0.17062635550315625
53,0.10314175365851774
54,0.11729936061851588
55,0.14040544089024376
56,0.0778091777012724
57,0.11985865867454054
58,0.09877054033491335
59,0.09232750963833702
60,0.1062186003503835
61,0.05805463165755072
62,0.14813869168223723
63,0.11594466551164465
64,0.08848500059369512
65,0.0869944475057591
66,0.07495388354197782
67,0.14695948464854708
68,0.10344735818282677
69,0.18851948491716175
70,0.08961301147905418
71,0.12402390029821668
72,0.09925855334814594
73,0.22294593742454893
74,0.09210072303837369
75,0.14511962260680436
76,0.11699165453451778
77,0.11609988016714938
78,0.07915879528890621
79,0.14119613120440597
80,0.1281997651131469
81,0.1779244699579684
82,0.14190380588452692
83,0.0798231846959766
84,0.20576015960718297
85,0.09608010622366714
86,0.08108330585154849
87,0.06968848763204596
88,0.12903805295285115
89,0.10999512889141172
90,0.09012725445118623
91,0.07395441874583134
92,0.08751523087095998
93,0.1594274226280212
94,0.12833315312003335
95,0.1517094605867992
96,0.11421182125727569
97,0.10769345249597295
98,0.13645629938035272
99,0.10871280807521672
100,0.07461073918397151
101,0.12102578779244372
102,0.13152616237476922
103,0.09170576753434162
104,0.11839928919717681
105,0.10737895381170157
106,0.11707039290585972
107,0.12361640265166103
108,0.10239131252646684
109,0.1340542915927078
110,0.058698838543116263
111,0.20459831115686622
112,0.1839834779772579
113,0.10478936009177317
114,0.07440637395398914
115,0.11916961573729012
116,0.12990107249640687
117,0.08400603838442126
118,0.04175802026979275
119,0.07267397944106657
120,0.09344433091034901
121,0.19495301338411025
122,0.07939019047593343
123,0.19202930126611595
124,0.04146833594759375
125,0.14047322785065036
126,0.14911976033681676
127,0.15672844531521626
128,0.15664225280096922
129,0.1670505263534089
130,0.22933495984573266
131,0.16356921788451192
132,0.14736536793023503
133,0.09232628065332776
134,0.14960673420166934
135,0.10514826349125228
136,0.23993090915791054
137,0.16547084917525012
138,0.1565161511606964
139,0.13962507260345697
140,0.14327109297873275
141,0.13279703250649127
142,0.1396142514703583
143,0.15832958401590724
144,0.11460617017357179
145,0.14395844236278751
146,0.18938165526185952
147,0.1795006461186458
148,0.15046016917937557
149,0.23862048418841159
150,0.14993552763515974
151,0.134260231962648
152,0.1412552073611338
153,0.0860489527522702
154,0.17244340056000207
155,0.20651034473741564
156,0.1147291984028446
157,0.12237465094986728
158,0.12778647975248728
159,0.08080313903472808
160,0.15944754241150944
161,0.09697152962611486
162,0.17537086113248013
163,0.15050619977133334
164,0.10972313359235396
165,0.1033537317695023
166,0.09215092008318967
167,0.14284205702616448
168,0.10094476520978946
169,0.07553627885691644
170,0.11963810558438774
171,0.22287695025709223
172,0.06164758571914815
173,0.08849272944294652
174,0.10287756534571488
175,0.15095883991838296
176,0.09980168681932927
177,0.12782364479787298
178,0.1190347634669128
179,0.14359294581660725
180,0.08746173486680577
181,0.2081897574326671
182,0.14924120783588438
183,0.0653408842883446
184,0.10584782126587404
185,0.07549478261479395
186,0.21502459584501635
187,0.17136587073842674
188,0.12872226335932088
189,0.05245418946354578
190,0.1079075868017749
191,0.1541242568447398
192,0.1282888323444105
193,0.1178734071592354
194,0.11238300168208565
195,0.13827926464018003
196,0.10243239092063228
197,0.11585391442321286
198,0.13316289554752242
199,0.10921923197057916
200,0.0967666973343423
201,0.24137047910098997
202,0.15184539124750288
203,0.14742184711464815
204,0.14264055767960168
205,0.18197395606888656
206,0.06140090082976064
207,0.09338311229897067
208,0.14819978585072047
209,0.15538767773694917
210,0.1361391106937512
211,0.12739714945503627
212,0.13987397231227391
213,0.15255284113192263
214,0.15413445714406546
215,0.14080742180103342
216,0.1748275603487912
217,0.12327275845369363
218,0.09587214327864549
219,0.10257567517358065
220,0.14410694852649186
221,0.1250575194257127
222,0.08774003035069397
223,0.08941484120758451
224,0.06567799008648366
225,0.127681610394222
226,0.11802829344128989
227,0.14639656450418975
228,0.1062032938324816
229,0.06601868302161895
230,0.14660187140692466
231,0.10413241950364538
232,0.13996488505562696
233,0.09755492161399833
234,0.13660108995505374
235,0.12194434121466448
236,0.2014023153554916
