,en_forward_frailty
0,0.12259464218688806
1,0.06793648064308783
2,0.17158501042267077
3,0.19908342643699922
4,0.12562663882757458
5,0.07183040348825274
6,0.12248791368727552
7,0.09911464898054259
8,0.1384347386489193
9,0.11903709184796107
10,0.09007515381988071
11,0.17893492971366667
12,0.12236701090620083
13,0.10315596406209113
14,0.14876075778675846
15,0.16092513649984402
16,0.15733654417464568
17,0.08606941241818486
18,0.13413163236608894
19,0.1383861426514793
20,0.0757229291822639
21,0.11738180878863433
22,0.07765285174288813
23,0.11315266507727986
24,0.13090478610640136
25,0.1712121412810479
26,0.1226110309212937
27,0.10417494056082244
28,0.14249658176682972
29,0.15689163628240083
30,0.15501886570078094
31,0.1796633354990782
32,0.14725801158066396
33,0.12460341240825801
34,0.10223258479299521
35,0.151275801739216
36,0.09961449733304747
37,0.14766828361108178
38,0.12158546540030984
39,0.09902416167171946
40,0.16858548149399064
41,0.13048879127065485
42,0.14990689793287376
43,0.10100433711942344
44,0.11017974574628231
45,0.13771723104161346
46,0.13195038416528337
47,0.14295279840013983
48,0.13154869314401382
49,0.14855254711664442
50,0.12618556274667797
51,0.11753149190314817
52,0.16854633188342294
53,0.09745529596579844
54,0.12426487770587084
55,0.1560323538106151
56,0.09157635826137132
57,0.12421835668840778
58,0.14965398395509813
59,0.10046942065925983
60,0.09764916510016439
61,0.05829646877420773
62,0.155620984670315
63,0.1342918466954176
64,0.097090126289241
65,0.13921527492966854
66,0.09998216685185776
67,0.12080925071038086
68,0.12840520366797115
69,0.1480237650612884
70,0.08912565506506043
71,0.14323172318066352
72,0.09971738113460035
73,0.19356284674705215
74,0.0977140109532974
75,0.13625744772475445
76,0.1604024860376709
77,0.12766921955486626
78,0.12110128415212955
79,0.12230992321880874
80,0.07968628841129041
81,0.16621373112677823
82,0.11657980200534705
83,0.1036196896945343
84,0.14770494346834
85,0.0916772726780096
86,0.11034927838583528
87,0.07612886912589117
88,0.13038662622175623
89,0.11602206476622864
90,0.08401294939249322
91,0.10764012009981261
92,0.10243647781332857
93,0.13686176375365275
94,0.12969576537019425
95,0.14465381051025575
96,0.1270214091652464
97,0.11998087452429532
98,0.10763970168963953
99,0.10195705104024566
100,0.08097933606763907
101,0.10188156362451628
102,0.13140305308055375
103,0.13060949459651885
104,0.1149414574423933
105,0.10444082311942109
106,0.13081727317982034
107,0.1480556807510093
108,0.11597544764005907
109,0.16415683036846163
110,0.09423194071430649
111,0.17826917883169396
112,0.15249014655964774
113,0.12793273038000275
114,0.12566284550401113
115,0.11824729985334133
116,0.1593326853571984
117,0.12276607403871923
118,0.06683667223410487
119,0.07861729437128001
120,0.07965529019253266
121,0.13959247804181596
122,0.1154833014871772
123,0.11207268666026667
124,0.04784366354605876
125,0.1335143490566381
126,0.14725256368893938
127,0.13314747991172143
128,0.145837323672326
129,0.15703470459595992
130,0.19009504962568707
131,0.11657841152000933
132,0.10805216505883403
133,0.11864883371236862
134,0.14060663903743403
135,0.09190890996319126
136,0.19801711599706837
137,0.15179060693033444
138,0.15510399020786797
139,0.1536217342763155
140,0.15511329681967
141,0.12983798745760566
142,0.1434718983261167
143,0.17177914222730759
144,0.13513558724537447
145,0.1439197618029422
146,0.14639778534517722
147,0.18046330923911305
148,0.13316051856245062
149,0.20213977975497383
150,0.14036649098867
151,0.16072537719727467
152,0.11608486179694197
153,0.09487917348090874
154,0.202892958194161
155,0.2129773839882561
156,0.13463976958253782
157,0.12710753485932966
158,0.09388672478033855
159,0.1268348196451267
160,0.14837687833504792
161,0.10948942008338164
162,0.1493627929591282
163,0.14307892844812622
164,0.1161183210774885
165,0.12177544923289295
166,0.10627105624450785
167,0.17045262238584394
168,0.09486467807603478
169,0.10149846301750089
170,0.11561273220069161
171,0.17123254273758778
172,0.120863842511366
173,0.08001082274785787
174,0.12758770399600633
175,0.1406551060981076
176,0.11609438659061475
177,0.11586034273063558
178,0.11949909196719183
179,0.11074003131587846
180,0.11042728866334824
181,0.14764593123650538
182,0.15231513964219975
183,0.07868396186226374
184,0.13932447500133738
185,0.08363892805899477
186,0.17788982468663472
187,0.15060697822162633
188,0.13857192940281793
189,0.0676315855900825
190,0.10524253856849483
191,0.1314319702962407
192,0.19624617652047924
193,0.11755399937153366
194,0.11370904738363907
195,0.1545807628172431
196,0.08861493876130697
197,0.09043423324319426
198,0.10729950860622857
199,0.11286858254918103
200,0.11777519167180214
201,0.20518815567579463
202,0.15135808334093723
203,0.12218153934187093
204,0.11714766652017626
205,0.14619578990113086
206,0.10607489199849032
207,0.11236356076844253
208,0.1331848045054958
209,0.1404296977430382
210,0.1481243710387869
211,0.15026475310128035
212,0.12033609278453972
213,0.1264772010176412
214,0.15497530008291702
215,0.1299988733260646
216,0.15401087571694494
217,0.1297364312710298
218,0.11380120296064442
219,0.1412415864468855
220,0.13625002123102614
221,0.10317046568403049
222,0.11862767040806776
223,0.1173160031688241
224,0.07974162907130611
225,0.13367207514575383
226,0.10688750912862541
227,0.13211441555952022
228,0.13004252364761137
229,0.07652909444711979
230,0.13228223283128443
231,0.12594310016300228
232,0.11018363938449721
233,0.13589361412363202
234,0.12898649211524127
235,0.13844567301441288
236,0.18117680308540218
237,0.1376915300705021
238,0.07733821253535894
239,0.12711167422056302
240,0.1316692913994994
241,0.1447295617954548
242,0.11776981487202584
243,0.11024690232807227
244,0.11998008388493127
245,0.17774715735004784
246,0.11788221497339632
247,0.10549922634440838
248,0.15548058984659804
249,0.11887851031947556
250,0.12342048118253808
251,0.10847830421104723
252,0.12420698001939726
253,0.1282076692705762
254,0.1163218901377856
255,0.07956585215761335
256,0.1466469028772444
257,0.09530390824673898
258,0.11163772564639772
259,0.12115728269530801
260,0.13212227051038888
261,0.12713403020423886
262,0.15091193251145602
263,0.12547982406435665
264,0.21093392216840787
265,0.10457253169815234
266,0.10717322452807425
267,0.16015764115441877
268,0.1813708928962175
269,0.11446439341913597
