mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coxnetsurvivalanalysis__alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9220627784729004,0.005517846401604929,0.10295124053955078,0.0060804460883917034,[0.007093880257070316],{'coxnetsurvivalanalysis__alphas': [0.007093880257070316]},0.5052466570699518,0.5155836240322643,0.5109743845981548,0.4960517467953107,0.5031208210089588,0.5061954467009281,0.006696630402149318,9
0.9246143817901611,0.008872090481397624,0.0994349479675293,0.002254584951903498,[0.006771452451130325],{'coxnetsurvivalanalysis__alphas': [0.006771452451130325]},0.5054732912392053,0.5209941255041303,0.5151340544222917,0.49627030232770025,0.4853155395258302,0.5046374626038316,0.012820012114376136,50
0.9214375495910645,0.002649061553443135,0.09940018653869628,0.0018234421742228447,[0.006463679486585445],{'coxnetsurvivalanalysis__alphas': [0.006463679486585445]},0.5094812176551973,0.5223975205218316,0.5175757150033068,0.49427479529283924,0.48447692359243205,0.5056412344131215,0.01424832911750511,11
0.9248332500457763,0.008155709737642795,0.10022501945495606,0.0016451964715901567,[0.006169895278276892],{'coxnetsurvivalanalysis__alphas': [0.006169895278276892]},0.5104002268166934,0.5192411136902987,0.5205359261080414,0.49156940200187926,0.4891875508332851,0.5061868438900395,0.013391850417225529,10
0.9222192287445068,0.0016937050423471679,0.09951763153076172,0.0022535572775067188,[0.005889464015644345],{'coxnetsurvivalanalysis__alphas': [0.005889464015644345]},0.511331708462672,0.5165230246521338,0.5233523347033229,0.49381951784749073,0.4925316575230216,0.5075116486377282,0.012317464586038298,7
0.9279365062713623,0.008476623570217074,0.09979205131530762,0.0017915780343929137,[0.0056217787866987175],{'coxnetsurvivalanalysis__alphas': [0.0056217787866987175]},0.512082491187125,0.5122913127488231,0.5249510607588797,0.49623173370433743,0.4949055528986015,0.5080924302595534,0.011245750130470982,4
0.9344539165496826,0.010017855874041163,0.09982714653015137,0.0018465875181353818,[0.005366260264537499],{'coxnetsurvivalanalysis__alphas': [0.005366260264537499]},0.5142381015540107,0.5090871837433377,0.5255252767701294,0.4991651849421387,0.49668544134714676,0.5089402376713525,0.010477444016379964,2
0.9303477764129638,0.009365055333535228,0.09949603080749511,0.0020138550408953402,[0.005122355453559995],{'coxnetsurvivalanalysis__alphas': [0.005122355453559995]},0.514820353634482,0.5071858182148276,0.5246425811821495,0.5013093768148913,0.49751766028286915,0.5090951580258439,0.009724223908628751,1
0.9456892013549805,0.005395148568352713,0.09950289726257325,0.0019008797178004428,[0.004889536492669023],{'coxnetsurvivalanalysis__alphas': [0.004889536492669023]},0.5146652080957984,0.5059888734713991,0.5225604268747672,0.502976212102834,0.4968974561272576,0.5086176353344112,0.009023006349328328,3
0.9435196399688721,0.0084447327867396,0.09945735931396485,0.0019409366009694353,[0.004667299512868933],{'coxnetsurvivalanalysis__alphas': [0.004667299512868933]},0.514322062669063,0.5049374294865976,0.5207738297987957,0.5038210885407031,0.4961456565908876,0.5080000134172094,0.008608220500366295,5
0.9528344154357911,0.004362916981588798,0.09965386390686035,0.0018662848973515192,[0.00445516354678757],{'coxnetsurvivalanalysis__alphas': [0.00445516354678757]},0.5145124962126236,0.5042579072270564,0.5190342833134749,0.5044060459950397,0.495577237654556,0.5075575940805501,0.008299809493911457,6
0.9600261211395263,0.0036730585898845656,0.0996866226196289,0.0022071578243171787,[0.004252669487762138],{'coxnetsurvivalanalysis__alphas': [0.004252669487762138]},0.5127420118299995,0.5044851062726129,0.5156406766272547,0.5050673022477682,0.4945177729918758,0.5064905739939022,0.007378352394648447,8
0.9597164154052734,0.009977251263071597,0.0995406150817871,0.001980731584215236,[0.004059379096236221],{'coxnetsurvivalanalysis__alphas': [0.004059379096236221]},0.5107293787242534,0.5042490889992608,0.5128229426632225,0.5057470043638441,0.4933724057889783,0.5053841641079119,0.006776564500626766,12
0.9677670478820801,0.005313244519804036,0.09957513809204102,0.002011595645823891,[0.003874874051317596],{'coxnetsurvivalanalysis__alphas': [0.003874874051317596]},0.5083011989403864,0.5031182809642991,0.5096665769833812,0.5064440344121555,0.4919090164159145,0.5038878215432273,0.006379500038386865,57
0.9892135620117187,0.00589076051569361,0.09996747970581055,0.002070684578388563,[0.0036987550454442],{'coxnetsurvivalanalysis__alphas': [0.0036987550454442]},0.5068501318432872,0.5008634082450429,0.5072457909601898,0.5069689030692239,0.4902171628401451,0.5024290793915778,0.0065565028199236035,69
0.9839417934417725,0.00942946282469629,0.1004612922668457,0.0019019592521712571,[0.003530640920198933],{'coxnetsurvivalanalysis__alphas': [0.003530640920198933]},0.5055353494546786,0.5001636559335002,0.5052723168903668,0.506831956508008,0.48884637762391137,0.501329931282093,0.006643787142928019,73
0.9927938938140869,0.008534390203199554,0.0996170997619629,0.0019779462166611144,[0.003370167841403009],{'coxnetsurvivalanalysis__alphas': [0.003370167841403009]},0.5040520364220883,0.4992335922607083,0.5034598751237563,0.5063680150965417,0.48736166492526173,0.5000950367656712,0.0067706880840541,78
1.0665647506713867,0.054586809146389574,0.10200366973876954,0.0029438019223637694,[0.003216988511702587],{'coxnetsurvivalanalysis__alphas': [0.003216988511702587]},0.5026831051984099,0.49829626651796716,0.5020516708261156,0.5053098932990651,0.48514160211283697,0.4986965075908789,0.007138383665505702,82
