,coefficient
CD84,-0.0002707169220946032
CD8A,0.0002620449611804258
CD99,0.0003865937227773359
CD99L2,0.0007035103196937064
CDC27,-8.057871806575439e-05
CDC37,0.0
CDCP1,0.001788985364082343
CDH15,-0.001315800720984674
CDH17,-0.00011338706036403746
CDH2,8.875066026815556e-05
CDH3,-0.0036207410576719716
CDH5,-0.0
CDH6,0.0001281347473644164
CDHR1,0.0003183279289303847
CDHR2,-0.0019756629424297627
CDHR5,0.0006361431530655834
CDKN1A,-0.0
CDKN2D,0.0009217191705503644
CDNF,0.0016506490224299443
CDON,-9.716787777444104e-05
CDSN,0.0007675769664201455
CEACAM1,-0.0013214326128534162
CEACAM21,-0.0
CEACAM3,0.0
CEACAM5,0.0019339873569801393
CEACAM8,0.0
CEBPB,-0.0004779223022971931
CELA3A,-0.0013575176030093195
CEP164,0.0008235950210199805
CEP20,0.0005322825319281746
CEP43,0.00035231617261689927
CEP85,0.0
CERT,-0.0
CES1,-0.0
CES2,0.000644344238310135
CES3,-0.0009672737393161142
CETN2,-0.00045406102929085833
CFC1,0.0007935290487173608
CGA,0.0009131423835620118
CGREF1,0.00088075371181656
CHAC2,-0.000288588577128178
CHEK2,0.0004437024097933654
CHGB,-0.002536528980363503
CHIT1,-0.0003228653882937356
CHL1,-0.0
CHMP1A,-0.0
CHRDL1,-0.0004183751339932456
CHRDL2,-0.00018994452145541888
CIAPIN1,0.0
CKAP4,0.0
CKMT1A_CKMT1B,0.0008420031309429938
CLC,0.0020375777239652624
CLEC10A,4.898399508967265e-05
CLEC11A,0.0
CLEC14A,0.00022730164126780005
CLEC1A,-0.0013498447065791608
CLEC1B,0.0009981254431482558
CLEC4A,-0.00020884478827183455
CLEC4C,-0.0004187157668729901
CLEC4D,0.0006000838781449731
CLEC4G,-0.0002704049536033841
CLEC5A,-8.325902401543594e-05
CLEC6A,-0.0
CLEC7A,0.0
CLIP2,0.0
CLMP,0.0
CLPP,-0.00017607467241356143
CLPS,0.0001756053665158275
CLSPN,0.0
CLSTN1,-0.0007399209707020216
CLSTN2,-0.0
CLTA,0.00041797417016254355
CLUL1,-9.615794035881016e-06
CNDP1,-0.0012637843614341554
CNPY2,-0.0001142566781742177
CNPY4,-0.0
CNST,-0.0014942563964618536
CNTN1,-0.0023001567897799526
CNTN2,0.000540676786244598
CNTN3,-0.00010020745830144688
CNTN4,-1.5747081132486453e-07
CNTN5,-0.000986898180833361
CNTNAP2,0.0
COL18A1,0.0
COL1A1,-0.0013623907752054907
COL4A1,0.0003319107958031053
COL6A3,0.0012925656369015305
COL9A1,0.002232769224247426
COLEC12,0.003079042542455064
COMP,-0.0003318178290300576
COMT,0.0004652625633119413
COPE,-4.338342921522563e-05
COX5B,-0.0
CPA1,0.0
CPA2,-0.0
CPB1,0.0
CPE,-0.000621702665126878
CPM,0.0008700580151857318
CPPED1,0.00018344322127350322
CPVL,8.587318682441921e-05
CPXM1,-8.787078166650684e-05
CR2,0.0006614706625840494
CRACR2A,0.001188173042683556
CRADD,-0.0
CREG1,-0.0015865203928004288
CRELD2,-0.0
CRH,-6.808190551725627e-05
CRHBP,0.0
CRHR1,0.0
CRIM1,0.00128746208267856
CRIP2,0.0
CRISP2,-0.00036484263693948335
CRKL,-0.0
CRLF1,-0.0007959966526729984
CRTAC1,5.052575825323247e-05
CRTAM,2.571967686219208e-05
CRX,0.00024524345978372544
CSF1,0.0010553782331380243
CSF2RA,-0.0
CSF3,-0.0010257161907025454
CST3,-0.0
CST5,-0.0016088137799922973
CST7,-0.0
CTF1,0.0005671391269518501
CTRB1,0.0006277379251987371
CTRC,0.000102785999127243
CTSB,-0.001373245271531578
CTSC,-0.0
CTSF,0.0002170754631173654
CTSH,0.0
CTSL,0.0019412795407241497
CTSO,0.0013685026369017494
CTSV,0.0003254039304821193
CTSZ,-0.0
CX3CL1,-0.0
CXADR,0.00042866359849831446
CXCL1,-0.0
CXCL10,0.0
CXCL11,-0.0
CXCL12,0.0
CXCL13,-0.0010272732542121225
CXCL14,-0.0007221669971751707
CXCL16,0.0
CXCL17,0.0006124275157101195
CXCL3,-9.552481064473175e-05
CXCL5,0.0
CXCL6,0.0
CXCL8,-0.0004322808778289566
CXCL9,-0.0
DAB2,0.0
DAG1,0.0
DAPP1,0.0
DARS1,-0.0
DBI,0.0
DBNL,0.0
DCBLD2,0.0021363558358653725
DCN,0.0003051443845699347
DCTN1,0.00033480523207621196
DCTN2,0.0
DCTN6,0.0004243583875911204
DCTPP1,0.0
DCXR,-0.0022496912870450295
DDAH1,0.0
DDC,-0.000370281011721388
DDR1,-0.0002534618768884182
DDX58,-0.0
DECR1,0.0
DEFB4A_DEFB4B,0.0008897185508413933
DFFA,0.0
DGKZ,7.061671504553658e-05
DIABLO,0.0
DKK1,0.0
DKK3,0.0003993787750967285
DKK4,-0.001215044739380426
DKKL1,0.00012963781864698816
DLK1,-0.0019151088296660913
DLL1,0.0
DNAJA2,0.0
DNAJB1,0.0
DNAJB8,0.0
DNER,-0.0
DNMBP,0.0
DNPH1,-0.0
DOK2,-0.0
DPEP1,0.0
DPEP2,0.0
DPP10,-0.0
DPP4,-0.0018954827667128538
DPP6,0.0
DPP7,0.0
DPT,0.00045032650413233405
DPY30,0.0007919677921529172
DRAXIN,0.0007252036682618419
DRG2,-0.0
DSC2,0.0010449633350022639
DSG2,0.001675105362735095
DSG3,0.002121862662746033
DSG4,-0.0
DTX3,-0.0009320340250717334
DUOX2,-0.000276633317491211
DUSP3,-0.0
EBAG9,-0.0
EBI3_IL27,-0.00023255422524144406
ECE1,4.264206552972825e-05
EDA2R,-0.0002862656739743383
EDAR,-0.0008106409345932822
EDIL3,-5.883038634738146e-05
EFEMP1,0.0
EFNA1,0.0
EFNA4,0.0011507532224696994
EGF,0.0
EGFL7,0.0005312742304047566
EGFR,-0.0024593610146163825
EGLN1,-0.0006559474402055524
EIF4B,-0.0
EIF4EBP1,0.0002186075113709026
EIF4G1,-0.0
EIF5A,-0.00019039139067608568
ELOA,0.0
ENAH,-1.572068507193987e-05
ENG,0.0007599899852735527
ENO1,0.0
ENO2,0.00016069229929315757
ENPP2,-0.0019218974004675297
ENPP5,-0.00031547277627747727
ENTPD2,0.0
ENTPD5,0.00018564987318604736
ENTPD6,0.0
EPCAM,0.0004620309166181561
EPHA1,-0.0020613879421627125
EPHA10,0.00036123066500459066
EPHB4,0.0015491755917787994
EPHB6,-0.0
EPHX2,-0.0
EPO,0.0007398590800478317
EPS8L2,-0.0
ERBB2,0.0003500653424773759
ERBB3,1.6500748051348093e-05
ERBB4,0.0014350467638298981
ERBIN,-0.0
EREG,0.0
ERP44,-0.0006157844153429566
ESAM,0.0
ESM1,-0.00014003483110433255
EZR,6.941163424735208e-05
F11R,0.0
F2R,-0.0
F3,0.0
F7,-0.0
F9,-0.0
FABP1,0.0
FABP2,-0.0
FABP4,0.0
FABP5,0.0
FABP6,0.0005507789684402091
FABP9,-6.757468637619155e-05
FADD,0.0
FAM3B,0.0003567091266949964
FAM3C,-0.0
FAP,0.0
FAS,-0.00012649724590889065
FASLG,-2.5463067564655805e-05
FBP1,-0.00017317201463897927
FCAR,-4.13288821611566e-05
FCER2,0.002001292179413631
FCGR2A,0.0
FCGR2B,-0.00022909132373557693
FCGR3B,0.00052144086790657
FCN2,-0.00014217491677397372
FCRL1,0.0
FCRL2,-0.00037432376267362226
FCRL3,-0.0005095789470755124
FCRL5,-0.0
FCRL6,0.0
FCRLB,-2.4448562244173484e-05
FEN1,0.00042458039461028843
FES,0.0
FETUB,0.0007098604059523153
FGF19,-0.0
FGF2,0.0
FGF21,-0.00011969813222460215
FGF23,-0.0006635166850856862
FGF5,0.0004263285975343215
FGFBP1,0.00037672516233792566
FGFR2,0.0025452565396438323
FGR,0.00016386273704700042
FHIT,0.0
FIS1,0.0
FKBP1B,0.0
FKBP4,4.1274043488026255e-05
FKBP5,0.0
FKBP7,0.0
FLI1,0.0
FLRT2,0.0009344989350813163
FLT1,-0.00047676384794768933
FLT3,-0.0003417020038435774
FLT3LG,-0.0
FLT4,-0.0
FMNL1,-0.0
FMR1,0.0
FOLR1,0.0014997039788372402
FOLR2,1.0048460057316855e-06
FOLR3,-0.0004536078300250996
FOSB,0.00021439974639687531
FOXO1,0.0
FOXO3,-0.0
FRZB,0.0
FST,-0.0
FSTL3,-0.0
FUCA1,0.000390848697270524
FURIN,0.001518328053501242
FUS,-0.0004247091079973181
FUT3_FUT5,0.0006149193471889235
FUT8,0.0
FXN,-0.0
FXYD5,0.0009393558396440165
FYB1,0.0
GAL,-9.362611780859942e-05
GALNT10,0.0
GALNT2,-0.0011900633853618866
GALNT3,0.00020733496514798577
GALNT7,-8.162618797277651e-05
GAS6,0.0
GBP2,-0.00012276978953141575
GBP4,-5.595564897492089e-05
GCG,0.0008508820484080681
GCNT1,-0.0
GDF15,0.0018395451751291206
GDF2,-0.0001293105340788748
GDNF,0.0
GFAP,-0.0012482091547332227
GFER,-0.0006096073241402742
GFOD2,0.0004659838649002413
GFRA1,0.0007809036266042097
GFRA2,-0.00020129335212106217
GFRA3,-7.969393641211267e-05
GGA1,0.0001084501132050898
GGH,0.00027079496509984133
GGT1,0.0022920449667710226
GGT5,0.000273919747300582
GH1,-0.0
GH2,-6.472712807278958e-05
GHRHR,-4.0544778167346155e-06
GHRL,-0.0
GKN1,3.737869496254697e-05
GLB1,0.000862375331312194
GLO1,0.001322437687789194
GLOD4,-0.0
GLRX,-0.0
GLT8D2,1.1447446536855364e-05
GMPR,0.0
GNE,0.0007948624076594004
GNLY,0.001036293263582662
GOLM2,0.0003465419923058933
GOPC,0.0012442865445621981
GP1BA,0.00011789833024685737
GP2,-0.00010846653998045151
GP6,0.0
GPA33,0.0
GPC1,-2.6251551833679968e-05
GPC5,-0.0
GPKOW,-0.0
GPR37,-0.000874686884262484
GRAP2,0.0
GRK5,0.0
GRN,0.00047013769264791854
GRPEL1,0.0008024530279479429
GSAP,-0.00015709357977956731
GSTA1,0.0
GSTA3,7.52462241331981e-05
GSTP1,0.0007480400410647753
GUCA2A,-0.00017843011694185245
GUSB,0.0019636900646008717
GYS1,-0.00030933693868008636
GZMA,-0.0002323592507750926
GZMB,-0.0017610470308279875
GZMH,0.00021083811402791136
HAGH,-0.0
HAO1,-0.00016075222977111897
HARS1,0.0
HAVCR1,0.001825546920921842
HAVCR2,0.0
HBEGF,0.0
HBQ1,0.0
HCLS1,0.0
HDGF,0.0
HEBP1,0.0
HEXIM1,0.0007334487208152488
HGF,3.924864422590688e-05
HGS,0.0
HK2,-0.00026930153296631214
HLA_DRA,0.0007355436578294742
HLA_E,-0.00021820159549126945
HMBS,-0.0
HMOX1,-0.00044527221672519186
HMOX2,-0.0
HNMT,0.0
HNRNPK,-0.0
HPCAL1,0.0
HPGDS,-0.0007460804188269038
HS3ST3B1,-0.0004956452774182515
HS6ST1,-0.0
HSD11B1,0.0
HSP90B1,0.00017658814209663628
HSPA1A,0.0
HSPB1,-0.0
HSPB6,-0.0006736305832854393
HSPG2,-0.0002348572194104982
HTRA2,0.0
HYAL1,0.0020715071475938636
HYOU1,-0.00018787461159973693
ICA1,0.0
ICAM1,-6.581325418217832e-05
ICAM2,-0.0
ICAM3,0.00046806456587201995
ICAM4,-0.00028317024268471235
ICAM5,0.0008226550577343249
ICOSLG,-0.0001778669775946515
IDI2,0.0
IDS,0.0
IDUA,9.28690708744399e-05
IFNG,0.0
IFNGR1,-0.0
IFNGR2,-8.99268690107329e-05
IFNL1,8.173112742225255e-05
IFNLR1,0.0
IGF1R,-0.0
IGF2R,0.0008077158755933427
IGFBP1,-0.0001379769338530809
IGFBP2,-0.0
IGFBP3,-0.0023168052519130424
IGFBP4,0.0
IGFBP6,-0.0
IGFBP7,0.0007301883780552315
IGFBPL1,-0.0009946280400540658
IGSF3,-0.0
IGSF8,-0.0
IKBKG,0.0
IKZF2,0.0
IL10,0.0004493034334750565
IL10RA,7.821562207335016e-05
IL10RB,0.0
IL11,-0.0
IL12A_IL12B,0.0005401101080696702
IL12B,0.00014816585948645248
IL12RB1,-0.0002527749443170035
IL13,-0.00034919228930684976
IL13RA1,-0.00011288932665644508
IL15,0.0007434062005828815
IL15RA,-0.00024273565279527527
IL16,-0.0
IL17A,-4.297507864623619e-05
IL17C,-0.00032105984253541064
IL17D,-0.0
IL17F,0.00011424165974575154
IL17RA,0.00013247595137456936
IL17RB,-5.68342173294687e-05
IL18,-0.0003420097244136603
IL18BP,-0.0
IL18R1,0.0001586375572760903
IL18RAP,0.0
IL1A,4.351809057679905e-05
IL1B,-0.00017915047347554365
IL1R1,0.0
IL1R2,8.318939207724375e-05
IL1RAP,-0.00024075243289976026
IL1RL1,-0.00011031654735900135
IL1RL2,3.239684856825867e-06
IL1RN,0.0008377394305166706
IL2,0.0007697300219425735
IL20,-1.0099170886340129e-05
IL20RA,-0.00021479038134364757
IL22RA1,0.000430463548520161
IL24,0.0
IL2RA,-0.0
IL2RB,-0.00016055104475222917
IL32,-0.0014309223552644561
IL33,0.00013648461904539313
IL34,-0.00025862399935277
IL3RA,-0.0004045055235419269
IL4,0.0
IL4R,0.0
IL5,-0.00041457973148986726
IL5RA,0.0007189415396275471
IL6,0.0
IL6R,-0.00022786658602593388
IL6ST,0.0
IL7,2.0410876818869504e-05
IL7R,-0.0003719386998732886
ILKAP,0.000639074867370882
IMPA1,-0.0
ING1,0.0003501449607480041
INHBC,0.0006093607638221282
INPP1,-0.0
INPPL1,0.0
IPCEF1,-0.0
IQGAP2,-0.00011673882803068574
IRAG2,-0.0
IRAK1,-0.0
IRAK4,0.0
ISLR2,0.0002919731179225601
ISM1,0.0
ITGA11,-0.0010375970251923084
ITGA5,0.00011665140270742755
ITGA6,-0.0
ITGAM,-0.002519636401323209
ITGAV,-0.0021021914525602573
ITGB1,0.0008296519686046774
ITGB1BP1,0.0006254655958327933
ITGB1BP2,0.0
ITGB2,0.0
ITGB5,-0.0017463402301323857
ITGB6,-0.0
ITGB7,0.0
ITIH3,-0.0012526971855630969
ITM2A,0.0
IVD,0.0
JAM2,0.0005954254568221735
JCHAIN,-0.00028632391545355736
JUN,-0.0
KAZALD1,-0.0
KCNIP4,-0.0007887411034687903
KDR,-0.0
KEL,-0.0
KIFBP,-0.0
KIR2DL3,-0.00021936708673477126
KIR3DL1,8.008233028993575e-05
KIRREL2,-0.00046352900190698885
KIT,-0.0013112162062744466
KITLG,0.00024578035099457945
KLB,0.0004082817381014581
KLK1,0.00031010612420924867
KLK10,0.00025163300430095496
KLK11,0.0007021038250957358
KLK12,-0.0
KLK13,0.0005889171058014349
KLK14,-0.0
KLK4,-0.0008361569649598384
KLK6,0.0
KLRB1,-0.0007490571981900175
KLRD1,-0.0
KRT18,0.0016566729243602627
KRT19,-0.0030645241191604323
KRT5,-0.0003269314758695195
KYAT1,0.0
KYNU,0.00039282908839942713
L1CAM,-0.0006052065314575603
LACTB2,0.0
LAG3,-0.0009797238205503218
LAIR1,-0.0
LAIR2,-0.0
LAMA4,-6.638175247953447e-05
LAMP3,-0.0016421165090172787
LAP3,0.0
LAT,0.0
LAT2,0.0
LAYN,-0.0
LBP,-0.0002941077916192113
LBR,0.0
LDLR,0.00020975392758701745
LEFTY2,-0.001664485271658271
LEP,0.002867760906335409
LEPR,0.0
LGALS1,0.00046676123490502436
LGALS3,0.002360589963392075
LGALS4,0.0031157329949434397
LGALS7_LGALS7B,0.0008991179049343855
LGALS8,-8.32902350642781e-05
LGALS9,0.0004708759593408633
LGMN,0.0
LHB,-0.0
LHPP,-0.0
LIF,-0.0005721293629337445
LIFR,-0.0
LILRA2,-9.477688716151577e-05
LILRA5,0.0006204252526452336
LILRB1,0.0
LILRB2,-0.0
LILRB4,-0.0008664513501893405
LILRB5,-4.451368122094335e-05
LPCAT2,0.0007130677490986774
LPL,0.0
LRIG1,0.001065309874953591
LRP1,0.0
LRP11,0.0
LRPAP1,0.0
LRRC25,-0.00016995992006613116
LRRN1,-0.0006153857314585156
LSM1,0.000552002516838123
LSP1,-0.0
LTA,0.0
LTA4H,-0.0
LTBP2,0.0020010835131385957
LTBP3,0.0
